image_name,label
isbi2025_ps3c_test_image_04577.png,healthy
isbi2025_ps3c_test_image_08558.png,rubbish
isbi2025_ps3c_test_image_02443.png,healthy
isbi2025_ps3c_test_image_12392.png,healthy
isbi2025_ps3c_test_image_13368.png,healthy
isbi2025_ps3c_test_image_12265.png,healthy
isbi2025_ps3c_test_image_17758.png,rubbish
isbi2025_ps3c_test_image_00935.png,rubbish
isbi2025_ps3c_test_image_15743.png,rubbish
isbi2025_ps3c_test_image_11038.png,rubbish
isbi2025_ps3c_test_image_13140.png,rubbish
isbi2025_ps3c_test_image_17065.png,healthy
isbi2025_ps3c_test_image_11936.png,rubbish
isbi2025_ps3c_test_image_11544.png,healthy
isbi2025_ps3c_test_image_06041.png,healthy
isbi2025_ps3c_test_image_10082.png,healthy
isbi2025_ps3c_test_image_05775.png,healthy
isbi2025_ps3c_test_image_16953.png,rubbish
isbi2025_ps3c_test_image_17494.png,healthy
isbi2025_ps3c_test_image_08559.png,healthy
isbi2025_ps3c_test_image_09675.png,healthy
isbi2025_ps3c_test_image_17816.png,rubbish
isbi2025_ps3c_test_image_10457.png,healthy
isbi2025_ps3c_test_image_13307.png,rubbish
isbi2025_ps3c_test_image_04245.png,healthy
isbi2025_ps3c_test_image_09224.png,rubbish
isbi2025_ps3c_test_image_11821.png,rubbish
isbi2025_ps3c_test_image_12651.png,healthy
isbi2025_ps3c_test_image_02026.png,rubbish
isbi2025_ps3c_test_image_07488.png,rubbish
isbi2025_ps3c_test_image_05108.png,healthy
isbi2025_ps3c_test_image_09037.png,rubbish
isbi2025_ps3c_test_image_03335.png,healthy
isbi2025_ps3c_test_image_14347.png,rubbish
isbi2025_ps3c_test_image_01337.png,rubbish
isbi2025_ps3c_test_image_14746.png,rubbish
isbi2025_ps3c_test_image_15045.png,rubbish
isbi2025_ps3c_test_image_17939.png,rubbish
isbi2025_ps3c_test_image_04833.png,rubbish
isbi2025_ps3c_test_image_05687.png,rubbish
isbi2025_ps3c_test_image_16600.png,healthy
isbi2025_ps3c_test_image_01202.png,rubbish
isbi2025_ps3c_test_image_04024.png,healthy
isbi2025_ps3c_test_image_13956.png,healthy
isbi2025_ps3c_test_image_00481.png,rubbish
isbi2025_ps3c_test_image_16542.png,unhealthy
isbi2025_ps3c_test_image_10574.png,rubbish
isbi2025_ps3c_test_image_00881.png,rubbish
isbi2025_ps3c_test_image_05987.png,rubbish
isbi2025_ps3c_test_image_17524.png,unhealthy
isbi2025_ps3c_test_image_16334.png,healthy
isbi2025_ps3c_test_image_09273.png,rubbish
isbi2025_ps3c_test_image_00718.png,rubbish
isbi2025_ps3c_test_image_11184.png,healthy
isbi2025_ps3c_test_image_12146.png,healthy
isbi2025_ps3c_test_image_02123.png,healthy
isbi2025_ps3c_test_image_15871.png,rubbish
isbi2025_ps3c_test_image_06476.png,healthy
isbi2025_ps3c_test_image_15870.png,rubbish
isbi2025_ps3c_test_image_14193.png,rubbish
isbi2025_ps3c_test_image_15184.png,rubbish
isbi2025_ps3c_test_image_06081.png,rubbish
isbi2025_ps3c_test_image_15474.png,rubbish
isbi2025_ps3c_test_image_02266.png,healthy
isbi2025_ps3c_test_image_10474.png,rubbish
isbi2025_ps3c_test_image_13638.png,rubbish
isbi2025_ps3c_test_image_12437.png,rubbish
isbi2025_ps3c_test_image_02567.png,healthy
isbi2025_ps3c_test_image_15240.png,healthy
isbi2025_ps3c_test_image_12599.png,rubbish
isbi2025_ps3c_test_image_02970.png,rubbish
isbi2025_ps3c_test_image_17176.png,rubbish
isbi2025_ps3c_test_image_07898.png,rubbish
isbi2025_ps3c_test_image_01956.png,rubbish
